,Objet,Model,Attaque,Intensité,Score,Difference absolue,MSE,Coef de corrélation,SSIM
0,airliner,VGG16,PGD,0.001,736045,3.3120349702380953,13.472576530612244,0.9999904760778766,0.9968640792608428
1,airliner,VGG16,PGD,0.01,287415,3.3856558248299318,13.500358737244898,0.9998717980615814,0.9899696323685867
2,airliner,VGG16,PGD,0.03,0,17.301618303571427,21.60061251062925,0.9990429059538624,0.9510558597031412
3,airliner,VGG16,PGD,0.0,752234,3.3023025616496597,13.534844015731293,0.9999917353998551,0.9969080395098837
4,airliner,VGG16,PGD,0.1,0,90.21225951318027,48.476828231292515,0.9921073003202486,0.7873531536707643
5,airliner,VGG16,PGD,0.3,0,110.41546423256803,57.379896099064624,0.9443410452909721,0.46407528199980347
6,airliner,VGG16,PGD,0.5,0,115.61470291241497,58.5617825255102,0.8696531212954083,0.3129600704512227
7,airliner,VGG16,PGD,1.0,0,120.30527875212584,59.859155771683675,0.6684591082124006,0.17154595473654785
8,bear,VGG16,PGD,0.001,747352,233.3551565157313,7.971938775510203e-05,0.9999816562793589,0.9974048027602148
9,bear,VGG16,PGD,0.01,106014,226.03452513818027,0.01830888605442177,0.9997565966308049,0.9916448258302681
10,bear,VGG16,PGD,0.03,322,218.7247621704932,0.09135841836734694,0.9982279768515245,0.9612074051132709
11,bear,VGG16,PGD,0.0,779606,239.92925568664967,0.0,0.999984434544509,0.9975286523055582
12,bear,VGG16,PGD,0.1,0,194.74940210459184,1.0734614158163265,0.9852304034023951,0.8144893814974328
13,bear,VGG16,PGD,0.3,0,183.33144664115648,12.069648171768707,0.9027697014351912,0.4880382606667182
14,bear,VGG16,PGD,0.5,0,170.80399659863946,18.88906382865646,0.7933290375587612,0.3420709099645983
15,bear,VGG16,PGD,1.0,0,155.04936623086735,24.63812712585034,0.5513988184025405,0.194672958634021
16,cliff-dwelling,VGG16,PGD,0.001,556832,247.43443080357142,0.0,0.9999828648833637,0.999205334086935
17,cliff-dwelling,VGG16,PGD,0.01,722019,249.55501302083334,0.0,0.9997656764212227,0.9973953476714883
18,cliff-dwelling,VGG16,PGD,0.03,74102,178.95951583758503,0.0,0.9984422702433483,0.9890190584705119
19,cliff-dwelling,VGG16,PGD,0.0,531673,244.16861314838437,0.0,0.9999852447740676,0.9992453573396523
20,cliff-dwelling,VGG16,PGD,0.1,0,154.87816884566325,15.115473533163266,0.985139729334785,0.9212515696344001
21,cliff-dwelling,VGG16,PGD,0.3,0,140.7600778592687,38.06041400935374,0.9084210484472421,0.7235837738866719
22,cliff-dwelling,VGG16,PGD,0.5,0,135.25754676870747,44.672094228316325,0.8021195199498184,0.5605124686960923
23,cliff-dwelling,VGG16,PGD,1.0,0,132.92384805484693,47.74798044217687,0.5685365691919531,0.34307889002292247
24,goldfish,VGG16,PGD,0.001,619862,0.39102359693877553,0.39102359693877553,0.9999366890709375,0.9978246585054206
25,goldfish,VGG16,PGD,0.01,485878,116.82183381164965,0.4957482993197279,0.9996374124325493,0.989862187279594
26,goldfish,VGG16,PGD,0.03,268500,155.71624548256804,1.6278566113945578,0.9977189073972147,0.9496504991888213
27,goldfish,VGG16,PGD,0.0,619220,0.8181600765306123,0.8181600765306123,0.9999705090024368,0.9992213057122616
