,level_0,Objet,Model,Attaque,Intensité,Score,Difference absolue,MSE,Coef de corrélation,SSIM
0,0,airliner,MobileNetV2,FGSM,0.001,-1,175.7951809630102,12.141342474489797,0.09204299862805697,0.22044814146724095
1,4,airliner,MobileNetV2,FGSM,0.003,-1,175.7815489477041,12.164799904336734,0.09218724509750215,0.22042727981671062
2,8,airliner,MobileNetV2,FGSM,0.006,-1,176.13731664540816,12.096699617346939,0.09227433674578478,0.22024434844860782
3,12,airliner,MobileNetV2,FGSM,0.01,-1,176.0154257015306,12.085399394132653,0.0921040672585985,0.2202989308080781
4,16,airliner,MobileNetV2,FGSM,0.03,-1,176.12167171556123,12.046914859693878,0.09161695487415816,0.2204021635704665
5,20,airliner,MobileNetV2,FGSM,0.06,-1,176.01801658163265,12.142598054846939,0.09155709772722768,0.22058089927125202
6,24,airliner,MobileNetV2,FGSM,0.0,-1,175.82585299744898,12.148158482142858,0.09204080286955954,0.22047154916063053
7,28,airliner,MobileNetV2,FGSM,0.1,-1,177.46799266581633,11.866131218112244,0.09173729349465129,0.219549200878665
8,32,airliner,MobileNetV2,FGSM,0.3,-1,176.80980947066325,12.113659917091837,0.09372625765657255,0.2204979785159178
9,36,airliner,MobileNetV2,FGSM,0.6,-1,176.4440768494898,12.402702487244898,0.09405957354335898,0.22879529378973504
10,40,airliner,MobileNetV2,FGSM,1.0,-1,172.98644770408163,13.036531409438776,0.09397084767066363,0.23956742926597085
11,44,airliner,MobileNetV2,PGD,0.001,-1,164.1611926020408,11.61555325255102,0.3515662848755837,0.4233130564294114
12,48,airliner,MobileNetV2,PGD,0.003,-1,173.88663903061226,10.184650031887756,0.3656039857239801,0.38027717558579804
13,52,airliner,MobileNetV2,PGD,0.006,-1,173.89084422831633,10.27164381377551,0.3552664032906375,0.3688659970095645
14,56,airliner,MobileNetV2,PGD,0.01,-1,163.62360491071428,12.529695471938776,0.3403518732363792,0.4214922988008039
15,60,airliner,MobileNetV2,PGD,0.03,-1,194.76139987244898,7.030034279336735,0.2863174671645987,0.23585220179996558
16,64,airliner,MobileNetV2,PGD,0.06,-1,190.31202168367346,8.200135522959183,0.2690208213062978,0.2702352483395932
17,68,airliner,MobileNetV2,PGD,0.0,-1,161.74035395408163,11.770727040816327,0.3693943118211884,0.4467259142041756
18,72,airliner,MobileNetV2,PGD,0.1,-1,183.59361049107142,8.785754145408163,0.31776091345442237,0.3152135705884267
19,76,airliner,MobileNetV2,PGD,0.3,-1,179.72787786989795,10.759068080357142,0.21568838630676046,0.3278618006084599
20,80,airliner,MobileNetV2,PGD,0.6,-1,157.78878348214286,13.331672512755102,0.22618470856018502,0.41590444936379733
21,84,airliner,MobileNetV2,PGD,1.0,-1,149.6158522002551,16.335459183673468,0.09036176474831509,0.4490370733458458
22,88,airliner,ResNet152V2,FGSM,0.001,-1,106.4918287627551,37.38349011479592,0.044357910860488584,0.3171001988383692
23,92,airliner,ResNet152V2,FGSM,0.003,-1,107.78796635841837,37.274294483418366,0.044079144730454885,0.31495431669883256
24,96,airliner,ResNet152V2,FGSM,0.006,-1,107.7129902742347,37.2321627869898,0.045139486234487006,0.315180065595686
25,100,airliner,ResNet152V2,FGSM,0.01,-1,108.31473214285714,36.941625478316325,0.04540149194757033,0.31416286288592815
26,104,airliner,ResNet152V2,FGSM,0.03,-1,106.87729193239795,37.57734773596939,0.04540734284723209,0.31733002528034504
27,108,airliner,ResNet152V2,FGSM,0.06,-1,107.90876116071429,37.32481664540816,0.04555725806657332,0.31457275804452695
28,112,airliner,ResNet152V2,FGSM,0.0,-1,106.64644451530613,37.4968112244898,0.04444746158321062,0.31690623721768196
29,116,airliner,ResNet152V2,FGSM,0.1,-1,110.27142458545919,36.06588807397959,0.04533810953231668,0.30976859541423507
30,120,airliner,ResNet152V2,FGSM,0.3,-1,104.02710459183673,37.90908003826531,0.040018122964768976,0.31648213815731474
31,124,airliner,ResNet152V2,FGSM,0.6,-1,82.10736208545919,43.74067283163265,0.04367253826321955,0.3447420096020428
32,128,airliner,ResNet152V2,FGSM,1.0,-1,84.46578045280613,43.25862962372449,0.041758035283266874,0.3427652709592346
33,132,airliner,ResNet152V2,PGD,0.001,-1,26.35873724489796,57.61561304209184,0.4050012110720107,0.29698446422062574
34,136,airliner,ResNet152V2,PGD,0.003,-1,84.52654655612245,36.062480070153065,0.3985834784654282,0.44058597736352334
35,140,airliner,ResNet152V2,PGD,0.006,-1,120.9041972257653,25.088169642857142,0.4079584105546479,0.4178868176172658
36,144,airliner,ResNet152V2,PGD,0.01,-1,145.55925143494898,19.063636001275512,0.36982325852593206,0.3607750334172945
37,148,airliner,ResNet152V2,PGD,0.03,-1,145.97506776147958,20.746033960459183,0.3267093619804105,0.3393334048896274
38,152,airliner,ResNet152V2,PGD,0.06,-1,113.12328603316327,29.92743542729592,0.276777056038789,0.39570544153912784
39,156,airliner,ResNet152V2,PGD,0.0,-1,94.66254783163265,32.147102200255105,0.4514901235576445,0.443930522365082
40,160,airliner,ResNet152V2,PGD,0.1,-1,126.48367745535714,27.572006536989797,0.24091200871950463,0.3628591535747224
41,164,airliner,ResNet152V2,PGD,0.3,-1,148.4534837372449,24.344965720663264,0.151582996357592,0.27889785393969324
42,168,airliner,ResNet152V2,PGD,0.6,-1,149.58735251913265,23.988360969387756,0.182671713680005,0.27836817312595286
43,172,airliner,ResNet152V2,PGD,1.0,-1,141.52068718112244,30.803013392857142,-0.07882425988086297,0.22365815667617858
44,176,airliner,VGG16,FGSM,0.001,-1,68.68913424744898,51.69242267219388,0.07984270320923742,0.32240356008571414
45,180,airliner,VGG16,FGSM,0.003,-1,68.7372050382653,51.57587292729592,0.07984801286187238,0.3228760197240778
46,184,airliner,VGG16,FGSM,0.006,-1,69.04948580994898,51.37705277423469,0.079952028868879,0.3236673813626373
47,188,airliner,VGG16,FGSM,0.01,-1,69.54382573341837,51.24300462372449,0.07984692033124816,0.3251392446341605
48,192,airliner,VGG16,FGSM,0.03,-1,69.33914620535714,51.3932955994898,0.07972690179676403,0.3235982795510491
49,196,airliner,VGG16,FGSM,0.06,-1,69.87238919005102,51.20001594387755,0.07978177094459071,0.32467536736213826
50,200,airliner,VGG16,FGSM,0.0,-1,68.70005580357143,51.67992665816327,0.07982748854951735,0.32232644380697767
51,204,airliner,VGG16,FGSM,0.1,-1,71.23054846938776,50.557936065051024,0.08032660478421588,0.32702670206620915
52,208,airliner,VGG16,FGSM,0.3,-1,69.73162468112245,51.23086734693877,0.07940667484645039,0.3237185501590309
53,212,airliner,VGG16,FGSM,0.6,-1,74.95904416454081,49.43550701530612,0.07897014822498663,0.32901477656207684
54,216,airliner,VGG16,FGSM,1.0,-1,83.76672114158163,46.54639668367347,0.0807032309205099,0.33322472380285195
55,220,airliner,VGG16,PGD,0.001,-1,135.6443319515306,29.293885522959183,0.13602132062552205,0.29705366428447005
56,224,airliner,VGG16,PGD,0.003,-1,154.55757732780611,23.056242028061224,0.16498829432964526,0.24976082271045227
57,228,airliner,VGG16,PGD,0.006,-1,152.52385602678572,23.66960299744898,0.16605628647380682,0.26564133888634633
58,232,airliner,VGG16,PGD,0.01,-1,169.51674107142858,17.461216517857142,0.2172181077556472,0.21626166707445146
59,236,airliner,VGG16,PGD,0.03,-1,159.11814413265307,21.529775191326532,0.17135653588257654,0.2286656638576916
60,240,airliner,VGG16,PGD,0.06,-1,172.6114277742347,17.122309470663264,0.09200227037286542,0.15007711799528475
61,244,airliner,VGG16,PGD,0.0,-1,158.26626275510205,21.965959821428573,0.18777934554183495,0.24101340608216734
62,248,airliner,VGG16,PGD,0.1,-1,170.9709622130102,17.7779615752551,0.05113803105274893,0.1488381131598079
63,252,airliner,VGG16,PGD,0.3,-1,179.55562420280611,16.162986288265305,0.06121393530463305,0.12495052951392163
64,256,airliner,VGG16,PGD,0.6,-1,141.53954081632654,28.691266741071427,0.10945667184114355,0.2552383269224747
